epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,5561.62,0.52541,0.39784,0.97352,0.99142,0.984,0.98954,0.96352,0.27257,0.16069,0.75081,0.006865,0.006865,0.006865
97,5617.34,0.5282,0.3987,0.97385,0.98858,0.98324,0.9889,0.96258,0.27832,0.16134,0.75274,0.006832,0.006832,0.006832
98,5673.46,0.52808,0.39679,0.97167,0.98906,0.9852,0.9885,0.9623,0.27432,0.15746,0.75203,0.006799,0.006799,0.006799
99,5729.48,0.52155,0.38745,0.97098,0.99058,0.98389,0.98912,0.96232,0.27987,0.15821,0.75448,0.006766,0.006766,0.006766
100,5785.23,0.52961,0.39535,0.9751,0.99126,0.98681,0.98929,0.9642,0.27197,0.15285,0.75109,0.006733,0.006733,0.006733
101,5841.88,0.52594,0.38988,0.97268,0.99112,0.9852,0.98968,0.9645,0.26986,0.15557,0.74924,0.0067,0.0067,0.0067
102,5898.3,0.52867,0.39821,0.97446,0.99073,0.98519,0.98952,0.96508,0.27158,0.15288,0.7502,0.006667,0.006667,0.006667
103,5955.43,0.53118,0.40145,0.97415,0.99295,0.98653,0.98948,0.96728,0.26341,0.14881,0.74605,0.006634,0.006634,0.006634
104,6011.58,0.52036,0.39187,0.96863,0.99333,0.98306,0.98914,0.96472,0.26905,0.15597,0.74967,0.006601,0.006601,0.006601
105,6067.93,0.52819,0.3972,0.97708,0.99259,0.97928,0.98893,0.96092,0.28033,0.15827,0.75623,0.006568,0.006568,0.006568
106,6124.06,0.52367,0.39623,0.97214,0.99137,0.98759,0.98955,0.96571,0.26718,0.15075,0.74942,0.006535,0.006535,0.006535
107,6180.28,0.52239,0.39292,0.97273,0.99175,0.98732,0.9896,0.96678,0.26579,0.15288,0.74692,0.006502,0.006502,0.006502
108,6236.88,0.52545,0.38869,0.97249,0.99134,0.98691,0.98938,0.96652,0.2652,0.14994,0.74797,0.006469,0.006469,0.006469
109,6293.18,0.52671,0.39345,0.9735,0.99178,0.98802,0.98981,0.96773,0.26127,0.14609,0.74613,0.006436,0.006436,0.006436
110,6350.01,0.52227,0.3914,0.97332,0.98603,0.98002,0.98792,0.95866,0.27838,0.16297,0.75314,0.006403,0.006403,0.006403
111,6406.56,0.52493,0.39646,0.97285,0.99247,0.98665,0.98957,0.96495,0.26787,0.15162,0.74824,0.00637,0.00637,0.00637
112,6463.51,0.52504,0.39414,0.97335,0.99313,0.98616,0.98982,0.96657,0.2631,0.14877,0.74607,0.006337,0.006337,0.006337
113,6519.56,0.52057,0.39126,0.96996,0.99046,0.98799,0.98938,0.96653,0.26445,0.14739,0.74702,0.006304,0.006304,0.006304
114,6575.31,0.52453,0.38978,0.97367,0.98976,0.98621,0.98908,0.96624,0.26531,0.15119,0.74705,0.006271,0.006271,0.006271
115,6631.81,0.51817,0.38809,0.97272,0.99259,0.98802,0.98987,0.9679,0.26264,0.14585,0.74511,0.006238,0.006238,0.006238
116,6688.02,0.5208,0.39123,0.97195,0.99101,0.98749,0.9896,0.96855,0.26077,0.14319,0.74616,0.006205,0.006205,0.006205
117,6744.26,0.51888,0.39057,0.96835,0.98857,0.98815,0.98952,0.96728,0.26258,0.14687,0.74758,0.006172,0.006172,0.006172
118,6800.58,0.5188,0.38685,0.96889,0.99368,0.98602,0.98949,0.96776,0.25982,0.14649,0.74529,0.006139,0.006139,0.006139
119,6856.5,0.51516,0.38782,0.96886,0.99318,0.98724,0.98938,0.96725,0.25949,0.14217,0.74499,0.006106,0.006106,0.006106
120,6912.41,0.511,0.37795,0.96647,0.9925,0.98776,0.9894,0.96702,0.25986,0.14212,0.74564,0.006073,0.006073,0.006073
121,6968.75,0.51983,0.38962,0.97292,0.98479,0.97548,0.98768,0.95589,0.28789,0.17549,0.76366,0.00604,0.00604,0.00604
