epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,12199.7,0.46927,0.3305,0.95231,0.99442,0.98919,0.99024,0.97585,0.22803,0.11555,0.72467,0.004819,0.004819,0.004819
159,12275.5,0.46803,0.33256,0.9533,0.99431,0.98913,0.99024,0.97586,0.22796,0.11563,0.72465,0.004786,0.004786,0.004786
160,12351.1,0.46151,0.32134,0.94638,0.99428,0.98913,0.99022,0.97593,0.22784,0.11573,0.72464,0.004753,0.004753,0.004753
161,12426.8,0.46321,0.32475,0.94834,0.9943,0.98914,0.99023,0.97586,0.2278,0.11575,0.72464,0.00472,0.00472,0.00472
162,12503.4,0.46474,0.32902,0.95148,0.99426,0.98919,0.99024,0.97597,0.22771,0.11566,0.72463,0.004687,0.004687,0.004687
163,12578.8,0.45966,0.32696,0.94917,0.99439,0.98922,0.99024,0.97593,0.22765,0.11567,0.72462,0.004654,0.004654,0.004654
164,12654.5,0.46532,0.32834,0.95075,0.99434,0.98922,0.99023,0.97591,0.2276,0.11567,0.72459,0.004621,0.004621,0.004621
165,12730.9,0.45936,0.32177,0.94861,0.99438,0.98922,0.99024,0.97582,0.22754,0.11568,0.7246,0.004588,0.004588,0.004588
166,12807.8,0.46404,0.32582,0.9496,0.99433,0.98922,0.99023,0.97593,0.22757,0.11577,0.72463,0.004555,0.004555,0.004555
167,12884.6,0.46105,0.3277,0.94866,0.99443,0.98911,0.99023,0.97591,0.22752,0.11579,0.72463,0.004522,0.004522,0.004522
168,12960.6,0.46395,0.3254,0.94868,0.99447,0.98916,0.99022,0.97591,0.22742,0.11578,0.72463,0.004489,0.004489,0.004489
169,13037.1,0.4617,0.32604,0.94906,0.99449,0.98915,0.99024,0.9759,0.22742,0.11568,0.72463,0.004456,0.004456,0.004456
170,13113.4,0.45876,0.32606,0.94876,0.99453,0.98905,0.99023,0.97597,0.22737,0.11583,0.72463,0.004423,0.004423,0.004423
171,13189.6,0.46203,0.32667,0.94909,0.99459,0.98905,0.99023,0.97597,0.22739,0.11571,0.72469,0.00439,0.00439,0.00439
172,13265.1,0.45461,0.31921,0.94249,0.99459,0.98902,0.99022,0.97595,0.22742,0.11556,0.72469,0.004357,0.004357,0.004357
173,13340.8,0.45562,0.31823,0.94713,0.99458,0.98893,0.99023,0.97593,0.2274,0.11556,0.72472,0.004324,0.004324,0.004324
174,13417.2,0.45522,0.31819,0.94437,0.99459,0.98893,0.99025,0.97603,0.22734,0.11551,0.72473,0.004291,0.004291,0.004291
175,13493.6,0.45829,0.32342,0.95159,0.99457,0.98905,0.99024,0.97607,0.22731,0.11546,0.72474,0.004258,0.004258,0.004258
176,13570.2,0.45368,0.31829,0.94414,0.99463,0.98905,0.99024,0.97609,0.22737,0.11528,0.72478,0.004225,0.004225,0.004225
177,13646.7,0.45556,0.32271,0.94779,0.99467,0.98904,0.99024,0.97601,0.22738,0.11519,0.72478,0.004192,0.004192,0.004192
178,13723.6,0.451,0.31798,0.94496,0.9947,0.98903,0.99022,0.97608,0.22736,0.11517,0.72479,0.004159,0.004159,0.004159
179,13802.1,0.4527,0.31995,0.9451,0.99471,0.98891,0.99022,0.97603,0.22737,0.11512,0.72482,0.004126,0.004126,0.004126
180,13877.9,0.44927,0.31582,0.94273,0.99454,0.98898,0.9902,0.97598,0.22737,0.11514,0.72485,0.004093,0.004093,0.004093
181,13954.6,0.4507,0.31506,0.94289,0.99455,0.98892,0.99024,0.97605,0.2274,0.11511,0.72488,0.00406,0.00406,0.00406
182,14031,0.45723,0.32478,0.94538,0.99449,0.98897,0.99025,0.97606,0.22743,0.11507,0.72489,0.004027,0.004027,0.004027
183,14106.7,0.44858,0.31993,0.94627,0.99449,0.98896,0.99024,0.97601,0.22742,0.11508,0.72492,0.003994,0.003994,0.003994
184,14183.2,0.45708,0.31891,0.94717,0.99454,0.9889,0.99024,0.97597,0.22744,0.11505,0.72494,0.003961,0.003961,0.003961
185,14259.2,0.44605,0.31525,0.94181,0.99465,0.9888,0.99026,0.976,0.22743,0.11494,0.72496,0.003928,0.003928,0.003928
186,14335.7,0.44889,0.31551,0.94428,0.99456,0.9889,0.99026,0.97603,0.22746,0.11501,0.725,0.003895,0.003895,0.003895
